unemployed  unemployment_rate  median  p25th   p75th college_jobs  
37           0.018381  110000  95000  125000         1534   
85           0.117241   75000  55000   90000          350   
16           0.024096   73000  50000  105000          456   
40           0.050125   70000  43000   80000          529   
1672           0.061098   65000  50000   75000        18314   
400           0.177226   65000  50000  102000         1142   
308           0.095652      UN     UN      UN         1768   
33           0.021167   62000  31500  109000          972   
4650           0.057342   60000  48000   70000        52844   
3895           0.059174   60000  45000   72000        45829   
2275           0.065409   60000  45000   75000        23694   
794           0.065162   60000  42000   70000         8184   
1019           0.092084   60000  36000   70000         6439   
78           0.023043   60000  39000   65000         2626   
23           0.006334   58000  25000   74000         2439   
589           0.087143   57100  40000   76000         3603   
699           0.042876   57000  37900   67000         8306   
2859           0.059824   56000  36000   69000        26898   
170           0.061931   54000  38000   65000         1665   
11           0.011690   54000  50000   54000          402   
6884           0.063173   53000  39000   70000        68622   
338           0.096931   53000  32000   70000         1183   
824           0.087557   52000  35000   60000         5126   
70           0.027789   52000  35000   62000         1911   
1015           0.058240   51000  38000   60000         6342   
3270           0.070610   50000  40000   60000        28526   
1042           0.060023   50000  36000   60000         3275   
504           0.047859   50000  40000   60000         1466   
597           0.074393   50000  39000   65000         3445   
670           0.128426   50000  35000   70000         1550   
